Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom,863820.920998,850877.938654,48920309.565798,48674003.477857
MainWingGeom,2926216.938474,2735768.500662,29442690.365920,27804471.428877
HorizontalTailGeom,161027.394871,153432.720511,1011383.588321,973415.926216
HorizontalTailGeom,161027.394871,153432.720511,1011383.588321,973415.926216
LeftVerticalTailGeom,155567.002752,151346.323016,1305198.315815,1282611.770910
RightVerticalTailGeom,155567.002752,151346.323016,1305198.315815,1282611.770910
Totals,4423226.654717,4196204.526368,82996163.739992,80990530.300985

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom_S_Surf0,863820.920998,850877.938654
MainWingGeom_S_Surf0,1463108.469237,1367884.080529
MainWingGeom_S_Surf1,1463108.469237,1367884.420132
HorizontalTailGeom_S_Surf0,161027.394871,153432.720511
HorizontalTailGeom_S_Surf1,161027.394871,153432.720511
LeftVerticalTailGeom_S_Surf0,155567.002752,151346.323016
RightVerticalTailGeom_S_Surf0,155567.002752,151346.323016
